# Definition of the community standard for skyglow observations 1.0
# URL: http://www.darksky.org/NSBM/sdf1.0.pdf
# Number of header lines: 35
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU
# Instrument ID: SQM_LU-MacLeish
# Data supplier: Mariana Abarca / Smith College Biology Department
# Location name: Smith College - MacLeish Field Station
# Position: 42.449183, -72.679909, 170
# Local timezone: UTC-4
# Time Synchronization: NTP
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: HOYA CM-500
# Measurement direction per channel: 0., 0.
# Field of view: 20
# Number of fields per line: 6
# SQM serial number: 5796
# SQM firmware version: 79
# SQM cover offset value: -0.11
# SQM readout test ix: i,00000004,00000006,00000079,00005796
# SQM readout test rx: r, 08.84m,0000028356Hz,0000000000c,0000000.000s, 020.3C
# SQM readout test cx: c,00000019.97m,0000215.540s, 020.3C,00000008.71m, 020.9C
# Comment:
# Comment:
# Comment:
# Comment:
# Comment: Capture program: PySQM
# blank line 30
# blank line 31
# blank line 32
# UTC Date & Time, Local Date & Time, Temperature, Counts, Frequency, MSAS
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;number;Hz;mag/arcsec^2
# END OF HEADER
2024-06-29T23:27:44.000;2024-06-29T19:27:44.000;19.90;0.000;654.000;12.940
2024-06-29T23:27:49.000;2024-06-29T19:27:49.000;19.90;0.000;654.000;12.940
2024-06-29T23:27:54.000;2024-06-29T19:27:54.000;19.60;0.000;652.000;12.940
2024-06-29T23:27:59.000;2024-06-29T19:27:59.000;19.90;0.000;653.000;12.940
2024-06-29T23:28:04.000;2024-06-29T19:28:04.000;19.60;0.000;644.000;12.950
2024-06-29T23:28:09.000;2024-06-29T19:28:09.000;19.60;0.000;641.000;12.960
2024-06-29T23:28:14.000;2024-06-29T19:28:14.000;19.90;0.000;637.000;12.960
2024-06-29T23:28:19.000;2024-06-29T19:28:19.000;19.90;0.000;641.000;12.960
2024-06-29T23:28:24.000;2024-06-29T19:28:24.000;19.60;0.000;641.000;12.960
2024-06-29T23:28:29.000;2024-06-29T19:28:29.000;19.90;0.000;646.000;12.950
2024-06-29T23:28:34.000;2024-06-29T19:28:34.000;19.60;0.000;647.000;12.950
2024-06-29T23:28:39.000;2024-06-29T19:28:39.000;19.60;0.000;651.000;12.940
2024-06-29T23:28:44.000;2024-06-29T19:28:44.000;19.60;0.000;658.000;12.930
2024-06-29T23:28:49.000;2024-06-29T19:28:49.000;19.90;0.000;656.000;12.930
2024-06-29T23:28:54.000;2024-06-29T19:28:54.000;19.60;0.000;653.000;12.940
2024-06-29T23:28:59.000;2024-06-29T19:28:59.000;19.90;0.000;649.000;12.940
2024-06-29T23:29:04.000;2024-06-29T19:29:04.000;19.60;0.000;644.000;12.950
2024-06-29T23:29:09.000;2024-06-29T19:29:09.000;19.60;0.000;645.000;12.950
2024-06-29T23:29:14.000;2024-06-29T19:29:14.000;19.90;0.000;648.000;12.940
2024-06-29T23:29:19.000;2024-06-29T19:29:19.000;19.60;0.000;649.000;12.940
2024-06-29T23:29:24.000;2024-06-29T19:29:24.000;19.90;0.000;649.000;12.940
2024-06-29T23:29:29.000;2024-06-29T19:29:29.000;19.90;0.000;648.000;12.940
2024-06-29T23:29:34.000;2024-06-29T19:29:34.000;19.90;0.000;647.000;12.950
2024-06-29T23:29:39.000;2024-06-29T19:29:39.000;19.60;0.000;645.000;12.950
2024-06-29T23:29:44.000;2024-06-29T19:29:44.000;19.90;0.000;643.000;12.960
2024-06-29T23:29:49.000;2024-06-29T19:29:49.000;19.60;0.000;639.000;12.960
2024-06-29T23:29:54.000;2024-06-29T19:29:54.000;19.60;0.000;636.000;12.960
2024-06-29T23:29:59.000;2024-06-29T19:29:59.000;19.60;0.000;631.000;12.980
2024-06-29T23:30:04.000;2024-06-29T19:30:04.000;19.90;0.000;630.000;12.980
2024-06-29T23:30:09.000;2024-06-29T19:30:09.000;19.90;0.000;631.000;12.980
2024-06-29T23:30:14.000;2024-06-29T19:30:14.000;19.60;0.000;631.000;12.980
2024-06-29T23:30:19.000;2024-06-29T19:30:19.000;19.90;0.000;631.000;12.980
2024-06-29T23:30:24.000;2024-06-29T19:30:24.000;19.90;0.000;628.000;12.980
2024-06-29T23:30:29.000;2024-06-29T19:30:29.000;19.60;0.000;626.000;12.990
2024-06-29T23:30:34.000;2024-06-29T19:30:34.000;19.90;0.000;622.000;12.990
2024-06-29T23:30:39.000;2024-06-29T19:30:39.000;19.90;0.000;620.000;12.990
2024-06-29T23:30:44.000;2024-06-29T19:30:44.000;19.90;0.000;621.000;12.990
2024-06-29T23:30:49.000;2024-06-29T19:30:49.000;19.90;0.000;616.000;13.000
2024-06-29T23:30:54.000;2024-06-29T19:30:54.000;19.60;0.000;602.000;13.030
2024-06-29T23:30:59.000;2024-06-29T19:30:59.000;19.90;0.000;595.000;13.040
2024-06-29T23:31:04.000;2024-06-29T19:31:04.000;19.90;0.000;587.000;13.060
2024-06-29T23:31:09.000;2024-06-29T19:31:09.000;19.60;0.000;581.000;13.060
2024-06-29T23:31:14.000;2024-06-29T19:31:14.000;19.60;0.000;574.000;13.080
2024-06-29T23:31:19.000;2024-06-29T19:31:19.000;19.60;0.000;564.000;13.090
2024-06-29T23:31:24.000;2024-06-29T19:31:24.000;19.90;0.000;556.000;13.110
2024-06-29T23:31:29.000;2024-06-29T19:31:29.000;19.90;0.000;551.000;13.130
2024-06-29T23:31:34.000;2024-06-29T19:31:34.000;19.90;0.000;545.000;13.130
2024-06-29T23:31:39.000;2024-06-29T19:31:39.000;19.90;0.000;543.000;13.140
2024-06-29T23:31:44.000;2024-06-29T19:31:44.000;19.90;0.000;533.000;13.160
2024-06-29T23:31:49.000;2024-06-29T19:31:49.000;19.60;0.000;531.000;13.160
2024-06-29T23:31:54.000;2024-06-29T19:31:54.000;19.60;0.000;524.000;13.170
2024-06-29T23:31:59.000;2024-06-29T19:31:59.000;19.60;0.000;517.000;13.190
2024-06-29T23:32:04.000;2024-06-29T19:32:04.000;19.90;0.000;509.000;13.210
2024-06-29T23:32:09.000;2024-06-29T19:32:09.000;19.90;0.000;508.000;13.210
2024-06-29T23:32:14.000;2024-06-29T19:32:14.000;19.60;0.000;505.000;13.210
2024-06-29T23:32:19.000;2024-06-29T19:32:19.000;19.90;0.000;502.000;13.220
2024-06-29T23:32:24.000;2024-06-29T19:32:24.000;19.90;0.000;499.000;13.230
2024-06-29T23:32:29.000;2024-06-29T19:32:29.000;19.90;0.000;501.000;13.220
2024-06-29T23:32:34.000;2024-06-29T19:32:34.000;19.90;0.000;496.000;13.230
2024-06-29T23:32:39.000;2024-06-29T19:32:39.000;19.60;0.000;496.000;13.230
2024-06-29T23:32:44.000;2024-06-29T19:32:44.000;19.90;0.000;492.000;13.240
2024-06-29T23:32:49.000;2024-06-29T19:32:49.000;19.90;0.000;492.000;13.240
2024-06-29T23:32:54.000;2024-06-29T19:32:54.000;19.90;0.000;487.000;13.260
2024-06-29T23:32:59.000;2024-06-29T19:32:59.000;19.60;0.000;486.000;13.260
2024-06-29T23:33:04.000;2024-06-29T19:33:04.000;19.60;0.000;479.000;13.270
2024-06-29T23:33:09.000;2024-06-29T19:33:09.000;19.90;0.000;478.000;13.270
2024-06-29T23:33:14.000;2024-06-29T19:33:14.000;19.90;0.000;475.000;13.280
2024-06-29T23:33:19.000;2024-06-29T19:33:19.000;19.90;0.000;473.000;13.290
2024-06-29T23:33:24.000;2024-06-29T19:33:24.000;19.90;0.000;469.000;13.290
2024-06-29T23:33:29.000;2024-06-29T19:33:29.000;19.60;0.000;471.000;13.290
2024-06-29T23:33:34.000;2024-06-29T19:33:34.000;19.90;0.000;466.000;13.300
2024-06-29T23:33:39.000;2024-06-29T19:33:39.000;19.90;0.000;467.000;13.300
2024-06-29T23:33:44.000;2024-06-29T19:33:44.000;19.90;0.000;468.000;13.290
2024-06-29T23:33:49.000;2024-06-29T19:33:49.000;19.90;0.000;462.000;13.310
2024-06-29T23:33:54.000;2024-06-29T19:33:54.000;19.60;0.000;460.000;13.310
2024-06-29T23:33:59.000;2024-06-29T19:33:59.000;19.90;0.000;462.000;13.310
2024-06-29T23:34:04.000;2024-06-29T19:34:04.000;19.90;0.000;455.000;13.330
2024-06-29T23:34:09.000;2024-06-29T19:34:09.000;19.90;0.000;455.000;13.330
2024-06-29T23:34:14.000;2024-06-29T19:34:14.000;19.90;0.000;451.000;13.340
2024-06-29T23:34:19.000;2024-06-29T19:34:19.000;19.90;0.000;448.000;13.340
2024-06-29T23:34:24.000;2024-06-29T19:34:24.000;19.90;0.000;445.000;13.350
2024-06-29T23:34:29.000;2024-06-29T19:34:29.000;19.90;0.000;444.000;13.350
2024-06-29T23:34:34.000;2024-06-29T19:34:34.000;19.60;0.000;444.000;13.350
2024-06-29T23:34:39.000;2024-06-29T19:34:39.000;19.60;0.000;443.000;13.360
2024-06-29T23:34:44.000;2024-06-29T19:34:44.000;19.60;0.000;444.000;13.350
2024-06-29T23:34:49.000;2024-06-29T19:34:49.000;19.90;0.000;444.000;13.350
2024-06-29T23:34:54.000;2024-06-29T19:34:54.000;19.90;0.000;441.000;13.360
2024-06-29T23:34:59.000;2024-06-29T19:34:59.000;19.90;0.000;442.000;13.360
2024-06-29T23:35:04.000;2024-06-29T19:35:04.000;19.60;0.000;438.000;13.370
2024-06-29T23:35:09.000;2024-06-29T19:35:09.000;19.90;0.000;438.000;13.370
2024-06-29T23:35:14.000;2024-06-29T19:35:14.000;19.60;0.000;436.000;13.370
2024-06-29T23:35:19.000;2024-06-29T19:35:19.000;19.90;0.000;435.000;13.380
