# Definition of the community standard for skyglow observations 1.0
# URL: http://www.darksky.org/NSBM/sdf1.0.pdf
# Number of header lines: 35
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU
# Instrument ID: SQM_LU-MacLeish
# Data supplier: Mariana Abarca / Smith College Biology Department
# Location name: Smith College - MacLeish Field Station
# Position: 42.449183, -72.679909, 170
# Local timezone: UTC-4
# Time Synchronization: NTP
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: HOYA CM-500
# Measurement direction per channel: 0., 0.
# Field of view: 20
# Number of fields per line: 6
# SQM serial number: 5796
# SQM firmware version: 79
# SQM cover offset value: -0.11
# SQM readout test ix: i,00000004,00000006,00000079,00005796
# SQM readout test rx: r, 10.77m,0000004826Hz,0000000000c,0000000.000s, 021.2C
# SQM readout test cx: c,00000019.97m,0000215.540s, 020.3C,00000008.71m, 020.9C
# Comment:
# Comment:
# Comment:
# Comment:
# Comment: Capture program: PySQM
# blank line 30
# blank line 31
# blank line 32
# UTC Date & Time, Local Date & Time, Temperature, Counts, Frequency, MSAS
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;number;Hz;mag/arcsec^2
# END OF HEADER
2024-06-15T23:24:13.000;2024-06-15T19:24:13.000;20.30;0.000;5177.000;10.690
2024-06-15T23:24:23.000;2024-06-15T19:24:23.000;20.30;0.000;5123.000;10.700
2024-06-15T23:24:33.000;2024-06-15T19:24:33.000;20.30;0.000;5119.000;10.710
2024-06-15T23:24:43.000;2024-06-15T19:24:43.000;20.30;0.000;5130.000;10.700
2024-06-15T23:24:53.000;2024-06-15T19:24:53.000;20.30;0.000;5181.000;10.690
2024-06-15T23:25:03.000;2024-06-15T19:25:03.000;20.30;0.000;5143.000;10.700
2024-06-15T23:25:13.000;2024-06-15T19:25:13.000;20.30;0.000;5179.000;10.690
2024-06-15T23:25:23.000;2024-06-15T19:25:23.000;20.30;0.000;5193.000;10.690
2024-06-15T23:25:33.000;2024-06-15T19:25:33.000;20.30;0.000;5176.000;10.690
2024-06-15T23:25:43.000;2024-06-15T19:25:43.000;20.30;0.000;5176.000;10.690
2024-06-15T23:25:53.000;2024-06-15T19:25:53.000;20.30;0.000;5095.000;10.710
2024-06-15T23:26:03.000;2024-06-15T19:26:03.000;20.30;0.000;5086.000;10.710
2024-06-15T23:26:13.000;2024-06-15T19:26:13.000;20.30;0.000;5070.000;10.710
2024-06-15T23:26:23.000;2024-06-15T19:26:23.000;20.30;0.000;5076.000;10.710
2024-06-15T23:26:33.000;2024-06-15T19:26:33.000;20.30;0.000;5061.000;10.710
2024-06-15T23:26:43.000;2024-06-15T19:26:43.000;20.30;0.000;5045.000;10.720
2024-06-15T23:26:53.000;2024-06-15T19:26:53.000;20.30;0.000;5122.000;10.700
2024-06-15T23:27:03.000;2024-06-15T19:27:03.000;20.30;0.000;5142.000;10.700
2024-06-15T23:27:13.000;2024-06-15T19:27:13.000;20.30;0.000;5149.000;10.700
2024-06-15T23:27:23.000;2024-06-15T19:27:23.000;20.30;0.000;5082.000;10.710
2024-06-15T23:27:33.000;2024-06-15T19:27:33.000;20.30;0.000;5042.000;10.720
2024-06-15T23:27:43.000;2024-06-15T19:27:43.000;20.30;0.000;5056.000;10.710
2024-06-15T23:27:53.000;2024-06-15T19:27:53.000;20.30;0.000;5069.000;10.710
2024-06-15T23:28:03.000;2024-06-15T19:28:03.000;20.30;0.000;5067.000;10.710
2024-06-15T23:28:13.000;2024-06-15T19:28:13.000;20.30;0.000;4961.000;10.730
2024-06-15T23:28:23.000;2024-06-15T19:28:23.000;20.30;0.000;4980.000;10.730
2024-06-15T23:28:33.000;2024-06-15T19:28:33.000;20.30;0.000;5021.000;10.730
2024-06-15T23:28:43.000;2024-06-15T19:28:43.000;20.30;0.000;5074.000;10.710
2024-06-15T23:28:53.000;2024-06-15T19:28:53.000;20.30;0.000;5113.000;10.710
2024-06-15T23:29:03.000;2024-06-15T19:29:03.000;20.30;0.000;5031.000;10.720
2024-06-15T23:29:13.000;2024-06-15T19:29:13.000;20.30;0.000;5025.000;10.720
2024-06-15T23:29:23.000;2024-06-15T19:29:23.000;20.30;0.000;5019.000;10.730
2024-06-15T23:29:33.000;2024-06-15T19:29:33.000;20.30;0.000;5030.000;10.720
2024-06-15T23:29:43.000;2024-06-15T19:29:43.000;20.30;0.000;4978.000;10.730
2024-06-15T23:29:53.000;2024-06-15T19:29:53.000;20.30;0.000;4921.000;10.750
2024-06-15T23:30:03.000;2024-06-15T19:30:03.000;20.30;0.000;4916.000;10.750
2024-06-15T23:30:13.000;2024-06-15T19:30:13.000;20.30;0.000;4927.000;10.750
2024-06-15T23:30:23.000;2024-06-15T19:30:23.000;20.30;0.000;4984.000;10.730
2024-06-15T23:30:33.000;2024-06-15T19:30:33.000;20.30;0.000;4964.000;10.730
2024-06-15T23:30:43.000;2024-06-15T19:30:43.000;20.30;0.000;4991.000;10.730
2024-06-15T23:30:53.000;2024-06-15T19:30:53.000;20.30;0.000;4994.000;10.730
2024-06-15T23:31:03.000;2024-06-15T19:31:03.000;20.30;0.000;4999.000;10.730
2024-06-15T23:31:13.000;2024-06-15T19:31:13.000;20.30;0.000;4986.000;10.730
2024-06-15T23:31:23.000;2024-06-15T19:31:23.000;20.30;0.000;4903.000;10.750
2024-06-15T23:31:33.000;2024-06-15T19:31:33.000;20.30;0.000;4888.000;10.750
2024-06-15T23:31:43.000;2024-06-15T19:31:43.000;20.30;0.000;4893.000;10.750
2024-06-15T23:31:53.000;2024-06-15T19:31:53.000;20.30;0.000;4885.000;10.750
2024-06-15T23:32:03.000;2024-06-15T19:32:03.000;20.30;0.000;4808.000;10.770
2024-06-15T23:32:13.000;2024-06-15T19:32:13.000;20.30;0.000;4836.000;10.760
2024-06-15T23:32:23.000;2024-06-15T19:32:23.000;20.30;0.000;4884.000;10.750
2024-06-15T23:32:33.000;2024-06-15T19:32:33.000;20.30;0.000;4944.000;10.740
2024-06-15T23:32:43.000;2024-06-15T19:32:43.000;20.30;0.000;4947.000;10.740
2024-06-15T23:32:53.000;2024-06-15T19:32:53.000;20.30;0.000;4885.000;10.750
2024-06-15T23:33:03.000;2024-06-15T19:33:03.000;20.30;0.000;4842.000;10.760
2024-06-15T23:33:13.000;2024-06-15T19:33:13.000;20.30;0.000;4856.000;10.760
2024-06-15T23:33:23.000;2024-06-15T19:33:23.000;20.30;0.000;4852.000;10.760
2024-06-15T23:33:33.000;2024-06-15T19:33:33.000;20.30;0.000;4810.000;10.770
2024-06-15T23:33:43.000;2024-06-15T19:33:43.000;20.30;0.000;4720.000;10.790
2024-06-15T23:33:53.000;2024-06-15T19:33:53.000;20.30;0.000;4662.000;10.810
2024-06-15T23:34:03.000;2024-06-15T19:34:03.000;20.30;0.000;4651.000;10.810
2024-06-15T23:34:13.000;2024-06-15T19:34:13.000;20.30;0.000;4698.000;10.800
2024-06-15T23:34:23.000;2024-06-15T19:34:23.000;20.30;0.000;4746.000;10.780
2024-06-15T23:34:33.000;2024-06-15T19:34:33.000;20.30;0.000;4664.000;10.810
2024-06-15T23:34:43.000;2024-06-15T19:34:43.000;20.30;0.000;4659.000;10.810
2024-06-15T23:34:53.000;2024-06-15T19:34:53.000;20.30;0.000;4693.000;10.800
2024-06-15T23:35:03.000;2024-06-15T19:35:03.000;20.30;0.000;4696.000;10.800
2024-06-15T23:35:13.000;2024-06-15T19:35:13.000;20.30;0.000;4647.000;10.810
2024-06-15T23:35:23.000;2024-06-15T19:35:23.000;20.30;0.000;4610.000;10.810
2024-06-15T23:35:33.000;2024-06-15T19:35:33.000;20.30;0.000;4613.000;10.810
2024-06-15T23:35:43.000;2024-06-15T19:35:43.000;20.30;0.000;4608.000;10.810
